Emotion,left_eye d,left_eye a,right_eye d,right_eye a,nose d,nose a,mouth_left d,mouth_left a,mouth_right d,mouth_right a
0,13.813037319865606,-124.38034472384487,13.446189051177287,-67.24902365721236,1.0000000000000013,143.13010235415592,14.317821063276355,118.35496178532406,14.710540438746635,46.101706115206376
0,12.006664815842907,-119.98163936884934,11.651609330903607,-39.4278021960362,3.310589071449369,-154.98310652190003,10.824047302187848,117.51200262385144,10.824047302187848,62.487997376148556
0,11.539497389401324,-115.67681568183824,12.006664815842907,-60.01836063115067,1.1661903789690609,149.03624346792643,11.320777358467925,122.0053832080835,12.18031198286809,60.48850144290969
0,13.45362404707371,-131.98721249581666,12.727922061357855,-45.0,5.385164807134504,-68.19859051364818,17.804493814764857,128.15722658736905,13.45362404707371,48.012787504183336
0,12.08801058900926,-128.95590783775893,10.560303025955266,-52.69605172201657,1.5231546211727809,23.19859051364826,10.262553288534,123.07067782276167,10.154801819828883,57.87500155961249
0,11.651609330903607,-129.4278021960362,11.779643458101779,-49.82076607809265,3.124099870362661,-140.19442890773482,11.043550153822817,125.41705527646742,13.96280774056565,51.98105740682979
0,11.636150566231086,-118.76764933884382,13.213629327327142,-50.527540151656176,4.494441010848846,-110.85445803957838,16.619265928433784,129.62900530446433,15.086417732516887,51.45881637871866
0,12.536347155371853,-123.94358701975182,13.926952286842946,-54.94057303311302,2.4413111231467397,-34.992020198558635,17.15109325961468,121.65127288671262,10.486181383134664,55.09750438407529
0,12.88875478857442,-131.855042535302,11.327841806805036,-42.13759477388826,1.708800749063508,-110.5560452195835,11.327841806805036,132.13759477388828,13.36861997365472,51.072456407207696
0,13.73608386695422,-132.04922089099364,12.731064370271639,-46.273030020056716,1.811077027627484,96.34019174590989,11.370136322841516,129.28940686250039,11.759251676871282,48.447386851865204
0,13.280060240827224,-127.04247477308287,13.862178760930766,-43.83086067209259,3.736308338453882,-105.52411099675425,16.72004784682149,126.73282666448938,13.753544997563354,49.12759170251172
0,16.670932787339765,-120.25643716352927,12.880993750483695,-53.841814560191665,3.0528675044947517,31.607502246248917,13.524792050157371,128.39516450324604,14.22392350935564,62.35402463626133
